BrilloHD,Journey,https://psnprofiles.com/trophies/1285-journey/BrilloHD,100%,22 Dec 2012 5:30:17 AM,30 Apr 2017 12:57:51 AM,4,4,7,19,27,34
Sundersnake,Rocket League,https://psnprofiles.com/trophies/3679-rocket-league/Sundersnake,100%,27 Jul 2015 6:01:13 PM,3 Apr 2017 8:16:39 PM,1,8,7,2,15,26
Sundersnake,Watch Dogs 2,https://psnprofiles.com/trophies/5554-watch-dogs-2/Sundersnake,100%,16 Nov 2016 1:52:40 AM,26 Apr 2017 11:27:16 PM,0,5,10,21,34,36
shrap_x,Resident Evil 6,https://psnprofiles.com/trophies/1644-resident-evil-6/shrap_x,100%,24 Jul 2013 1:26:27 AM,30 Apr 2017 1:31:51 AM,3,9,6,0,5,24
themindisacity,LEGO Dimensions,https://psnprofiles.com/trophies/3915-lego-dimensions/themindisacity,100%,9 Jun 2016 9:27:40 PM,29 Apr 2017 8:13:58 PM,0,10,19,22,46,18
themindisacity,LEGO Dimensions,https://psnprofiles.com/trophies/3900-lego-dimensions/themindisacity,100%,5 Dec 2015 11:20:44 PM,30 Apr 2017 1:54:58 AM,1,4,24,2,34,14
XxDecieverxX,Assassin's Creed IV Black Flag,https://psnprofiles.com/trophies/2247-assassins-creed-iv-black-flag/XxDecieverxX,ERROR,CHECK MANUALLY
olsen77,Rocket League,https://psnprofiles.com/trophies/3679-rocket-league/olsen77,100%,10 Feb 2016 4:51:46 AM,30 Apr 2017 3:05:28 AM,1,2,19,22,13,42
tuffmuff,Altered Beast,https://psnprofiles.com/trophies/1003-altered-beast/tuffmuff,100%,2 Aug 2012 3:09:12 PM,30 Apr 2017 2:21:07 AM,4,8,27,11,11,55
tuffmuff,Golden Axe,https://psnprofiles.com/trophies/918-golden-axe/tuffmuff,100%,5 Nov 2011 3:01:08 AM,30 Apr 2017 1:13:21 AM,5,5,24,22,12,13
tuffmuff,Sam &amp; Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,https://psnprofiles.com/trophies/404-sam-max-the-devils-playhouse-episode-4-beyond-the-alley-of-the-dolls/tuffmuff,100%,24 Apr 2011 1:31:04 AM,30 Apr 2017 3:48:48 AM,6,0,6,2,17,44
tuffmuff,Jurassic Park: The Intruder,https://psnprofiles.com/trophies/1187-jurassic-park-the-intruder/tuffmuff,100%,21 Nov 2011 6:53:26 PM,29 Apr 2017 6:06:55 PM,5,5,7,23,13,29
Lion_Squid,Game of Thrones,https://psnprofiles.com/trophies/3231-game-of-thrones/Lion_Squid,Platinum,17 Jun 2015 9:30:43 AM,30 Apr 2017 2:25:39 AM,1,10,12,16,54,56
TwilightStar-R,LEGO Star Wars III: The Clone Wars,https://psnprofiles.com/trophies/834-lego-star-wars-iii-the-clone-wars/TwilightStar-R,Platinum,30 Dec 2011 12:35:01 PM,30 Apr 2017 5:09:27 AM,5,3,30,16,34,26
pot1414,Sonic Unleashed,https://psnprofiles.com/trophies/38-sonic-unleashed/pot1414,Platinum,9 Apr 2009 1:05:29 PM,30 Apr 2017 3:54:32 AM,8,0,20,14,49,3
Leo_the_Lion25,DeathSpank,https://psnprofiles.com/trophies/375-deathspank/Leo_the_Lion25,100%,24 Sep 2010 1:29:40 AM,30 Apr 2017 5:26:34 AM,6,7,6,3,56,54
MHCanada,Heavy Rain,https://psnprofiles.com/trophies/249-heavy-rain/MHCanada,Platinum,15 Dec 2011 4:44:00 AM,29 Apr 2017 8:18:09 PM,5,4,14,15,34,9
Maestro-Mephisto,Driveclub,https://psnprofiles.com/trophies/2924-driveclub/Maestro-Mephisto,Platinum,10 Dec 2016 1:42:28 PM,2 Apr 2017 7:05:25 PM,0,3,23,5,22,57
Maestro-Mephisto,Driveclub Bikes,https://psnprofiles.com/trophies/4013-driveclub-bikes/Maestro-Mephisto,Platinum,11 Dec 2016 2:20:26 PM,11 Apr 2017 2:33:15 PM,0,4,0,0,12,49
Maestro-Mephisto,Driveclub Bikes,https://psnprofiles.com/trophies/4013-driveclub-bikes/Maestro-Mephisto,100%,11 Dec 2016 2:20:26 PM,11 Apr 2017 9:36:03 PM,0,4,0,7,15,37
Maestro-Mephisto,Mass Effect 2,https://psnprofiles.com/trophies/730-mass-effect-2/Maestro-Mephisto,Platinum,15 Feb 2017 7:58:41 PM,17 Apr 2017 12:24:01 PM,0,2,1,16,25,20
Maestro-Mephisto,Rocket League,https://psnprofiles.com/trophies/3679-rocket-league/Maestro-Mephisto,100%,8 Aug 2015 7:13:19 PM,17 Apr 2017 8:38:04 PM,1,8,9,1,24,45
Maestro-Mephisto,FIFA 17,https://psnprofiles.com/trophies/5344-fifa-17/Maestro-Mephisto,Platinum,18 Feb 2017 1:50:14 PM,30 Apr 2017 1:49:20 AM,0,2,11,11,59,6
BinkUncia,Need for Speed: Most Wanted,https://psnprofiles.com/trophies/1715-need-for-speed-most-wanted/BinkUncia,Platinum,24 Nov 2016 8:51:35 PM,2 Apr 2017 10:47:28 AM,0,4,8,13,55,53
BinkUncia,Steins;Gate,https://psnprofiles.com/trophies/3604-steinsgate/BinkUncia,Platinum,3 Jun 2016 7:19:53 AM,8 Apr 2017 10:54:40 AM,0,10,5,3,34,47
BinkUncia,Tekken Tag Tournament 2,https://psnprofiles.com/trophies/1569-tekken-tag-tournament-2/BinkUncia,Platinum,29 Jun 2016 10:42:14 PM,26 Apr 2017 8:16:37 PM,0,9,27,21,34,23
BinkUncia,LittleBigPlanet,https://psnprofiles.com/trophies/1612-littlebigplanet/BinkUncia,Platinum,8 Aug 2015 6:03:03 PM,29 Apr 2017 11:09:38 AM,1,8,20,17,6,35
BinkUncia,Asura's Wrath,https://psnprofiles.com/trophies/1275-asuras-wrath/BinkUncia,Platinum,2 Mar 2015 9:13:25 PM,29 Apr 2017 11:45:01 AM,2,1,26,14,31,36
BinkUncia,Asura's Wrath,https://psnprofiles.com/trophies/1275-asuras-wrath/BinkUncia,100%,2 Mar 2015 9:13:25 PM,29 Apr 2017 3:08:42 PM,2,1,26,17,55,17
BinkUncia,Fibbage,https://psnprofiles.com/trophies/2900-fibbage/BinkUncia,100%,20 Dec 2014 12:03:14 AM,30 Apr 2017 11:13:29 AM,2,4,10,11,10,15
Hemming87,DeathSpank,https://psnprofiles.com/trophies/375-deathspank/Hemming87,100%,21 Jul 2010 10:08:26 PM,28 Apr 2017 5:52:18 PM,6,9,6,19,43,52
Hemming87,flOw,https://psnprofiles.com/trophies/127-flow/Hemming87,100%,13 Mar 2014 11:07:44 PM,29 Apr 2017 10:34:33 AM,3,1,15,11,26,49
Hemming87,LittleBigPlanet,https://psnprofiles.com/trophies/1612-littlebigplanet/Hemming87,Platinum,8 Aug 2015 6:39:03 PM,29 Apr 2017 11:09:38 AM,1,8,20,16,30,35
Hemming87,Overcooked,https://psnprofiles.com/trophies/5128-overcooked/Hemming87,100%,12 Nov 2016 10:12:46 PM,30 Apr 2017 10:28:43 AM,0,5,17,12,15,57
Dark_Adonis,Wheelman,https://psnprofiles.com/trophies/76-wheelman/Dark_Adonis,Platinum,9 Jul 2009 10:42:54 PM,30 Apr 2017 11:29:17 AM,7,9,20,12,46,23
AstroFlibble,The Elder Scrolls V: Skyrim,https://psnprofiles.com/trophies/5507-the-elder-scrolls-v-skyrim/AstroFlibble,Platinum,26 Dec 2016 3:46:19 PM,12 Apr 2017 3:38:15 PM,0,3,16,23,51,56
AstroFlibble,The Elder Scrolls V: Skyrim,https://psnprofiles.com/trophies/5507-the-elder-scrolls-v-skyrim/AstroFlibble,Platinum,26 Dec 2016 3:46:19 PM,12 Apr 2017 3:38:15 PM,0,3,16,23,51,56
AstroFlibble,Grid Autosport,https://psnprofiles.com/trophies/2685-grid-autosport/AstroFlibble,ERROR,CHECK MANUALLY
diskdocx,Adventure Time: The Secret of the Nameless Kingdom,https://psnprofiles.com/trophies/3176-adventure-time-the-secret-of-the-nameless-kingdom/diskdocx,Platinum,26 Nov 2016 3:29:25 AM,30 Apr 2017 12:30:31 PM,0,5,4,9,1,6
Izularia,Assassin's Creed II,https://psnprofiles.com/trophies/201-assassins-creed-ii/Izularia,Platinum,21 Nov 2009 12:03:09 PM,30 Apr 2017 1:06:59 PM,7,5,9,1,3,50
mattigummi45,Red Dead Redemption,https://psnprofiles.com/trophies/282-red-dead-redemption/mattigummi45,100%,27 Feb 2013 8:38:09 PM,30 Apr 2017 12:34:13 AM,4,2,2,3,56,4
Nyx_ExMach1na,AquaPazza: Aquaplus Dream Match,https://psnprofiles.com/trophies/1589-aquapazza-aquaplus-dream-match/Nyx_ExMach1na,Platinum,10 Oct 2014 8:57:56 PM,13 Apr 2017 7:31:36 PM,2,6,2,22,33,40
Nyx_ExMach1na,Tekken Tag Tournament HD,https://psnprofiles.com/trophies/1183-tekken-tag-tournament-hd/Nyx_ExMach1na,Platinum,1 Oct 2014 2:34:50 PM,14 Apr 2017 2:03:03 PM,2,6,12,23,28,13
Nyx_ExMach1na,Castle of Illusion Starring Mickey Mouse,https://psnprofiles.com/trophies/2112-castle-of-illusion-starring-mickey-mouse/Nyx_ExMach1na,100%,29 Oct 2014 3:17:48 AM,30 Apr 2017 11:49:40 AM,2,6,1,8,31,52
Nyx_ExMach1na,Persona 4 Arena Ultimax,https://psnprofiles.com/trophies/2832-persona-4-arena-ultimax/Nyx_ExMach1na,Platinum,1 Oct 2014 1:51:42 AM,1 Apr 2017 11:14:33 PM,2,6,0,21,22,51
Nyx_ExMach1na,The Last of Us Remastered,https://psnprofiles.com/trophies/2752-the-last-of-us-remastered/Nyx_ExMach1na,Platinum,17 Feb 2017 8:58:53 PM,1 Apr 2017 7:30:57 PM,0,1,14,22,32,4
Nyx_ExMach1na,The Last of Us Remastered,https://psnprofiles.com/trophies/2752-the-last-of-us-remastered/Nyx_ExMach1na,100%,17 Feb 2017 8:58:53 PM,1 Apr 2017 8:25:44 PM,0,1,14,23,26,51
SNACH2497,AMY,https://psnprofiles.com/trophies/1251-amy/SNACH2497,100%,29 Apr 2013 12:37:12 AM,30 Apr 2017 3:25:54 PM,4,0,1,14,48,42
Kyden139,Batman: Arkham Origins,https://psnprofiles.com/trophies/2187-batman-arkham-origins/Kyden139,ERROR,CHECK MANUALLY
Kyden139,Sound Shapes,https://psnprofiles.com/trophies/1552-sound-shapes/Kyden139,100%,30 Nov 2013 2:08:14 AM,30 Apr 2017 3:33:13 PM,3,5,0,13,24,59
Kyden139,Sound Shapes,https://psnprofiles.com/trophies/1551-sound-shapes/Kyden139,100%,8 Aug 2013 3:27:53 AM,29 Apr 2017 6:36:09 PM,3,8,21,15,8,16
Kurolegacy7,Naruto Shippuden: Ultimate Ninja Storm 4,https://psnprofiles.com/trophies/4297-naruto-shippuden-ultimate-ninja-storm-4/Kurolegacy7,Platinum,3 Aug 2016 5:11:06 AM,30 Apr 2017 1:29:07 PM,0,8,27,8,18,1
olsen77,Madden NFL 17,https://psnprofiles.com/trophies/5159-madden-nfl-17/olsen77,Platinum,13 Dec 2016 5:50:24 AM,30 Apr 2017 4:36:56 PM,0,4,17,10,46,32
kb420mcl,Minecraft,https://psnprofiles.com/trophies/2863-minecraft/kb420mcl,100%,12 Jun 2016 3:03:04 PM,30 Apr 2017 3:46:38 PM,0,10,18,0,43,34
kb420mcl,Minecraft,https://psnprofiles.com/trophies/2990-minecraft/kb420mcl,100%,19 Jun 2016 2:14:16 PM,30 Apr 2017 4:10:37 PM,0,10,11,1,56,21
kb420mcl,Minecraft,https://psnprofiles.com/trophies/2340-minecraft/kb420mcl,100%,24 Feb 2014 4:39:15 AM,30 Apr 2017 4:41:31 PM,3,2,6,12,2,16
sum1_worsethan_u,Far Cry 4,https://psnprofiles.com/trophies/3150-far-cry-4/sum1_worsethan_u,100%,19 Nov 2014 5:45:58 AM,29 Apr 2017 4:05:54 PM,2,5,10,10,19,56
sum1_worsethan_u,Child of Light,https://psnprofiles.com/trophies/2705-child-of-light/sum1_worsethan_u,100%,26 Jan 2017 11:07:56 PM,30 Apr 2017 2:49:37 PM,0,3,3,15,41,41
